state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
AR,Low,4,45000.0,35000.0,8.5,8.587499999999999,783,626,10000.0,-0.08749999999999858
ME,High,31,225000.0,190000.0,7.5,7.3125,276,138,35000.0,0.1875
NM,High,32,255000.0,205000.0,6.99,7.125,427,179,50000.0,-0.1349999999999998
OK,Middle,32,175000.0,155000.0,6.75,6.75,1650,730,20000.0,0.0
NE,Low,2,45000.0,35000.0,7.75,7.75,310,286,10000.0,0.0
KY,Low,4,45000.0,45000.0,8.25,8.498999999999999,1384,1142,0.0,-0.24899999999999878
IN,High,1,365000.0,335000.0,6.75,6.875,10479,4165,30000.0,-0.125
DC,High,31,365000.0,365000.0,7.24,6.75,126,106,0.0,0.4900000000000002
MS,Low,2,45000.0,35000.0,8.25,8.25,379,351,10000.0,0.0
DE,Middle,1,315000.0,305000.0,6.625,6.625,3051,2391,10000.0,0.0
NJ,Middle,32,225000.0,215000.0,6.75,6.75,3970,2430,10000.0,0.0
ME,Low,1,185000.0,175000.0,6.625,6.625,1638,1369,10000.0,0.0
IL,Low,32,115000.0,115000.0,6.75,6.875,2413,2010,0.0,-0.125
SC,Middle,31,130000.0,135000.0,7.125,6.99,1148,615,-5000.0,0.1349999999999998
SD,High,32,155000.0,165000.0,7.75,7.625,200,85,-10000.0,0.125
RI,High,4,125000.0,105000.0,7.5,7.5,573,246,20000.0,0.0
WI,High,4,75000.0,65000.0,7.25,6.99,3177,1605,10000.0,0.2599999999999998
NJ,Middle,1,335000.0,315000.0,6.625,6.625,16995,11552,20000.0,0.0
WV,High,2,75000.0,65000.0,7.5,8.25,299,106,10000.0,-0.75
MA,High,4,145000.0,105000.0,7.5,7.5,3314,1632,40000.0,0.0
MN,Low,2,45000.0,45000.0,7.75,7.75,999,966,0.0,0.0
GA,Middle,31,175000.0,175000.0,7.0,6.875,2207,1277,0.0,0.125
MD,Middle,32,215000.0,205000.0,6.75,6.75,2922,2327,10000.0,0.0
MS,Middle,31,85000.0,75000.0,8.0,8.0,1545,555,10000.0,0.0
UT,Middle,32,245000.0,225000.0,6.99,6.99,2451,1030,20000.0,0.0
SD,Middle,32,155000.0,135000.0,7.375,7.125,490,218,20000.0,0.25
IL,High,31,205000.0,195000.0,7.45,7.245,2334,718,10000.0,0.20500000000000007
WA,Middle,4,75000.0,75000.0,8.45,8.25,3856,2386,0.0,0.1999999999999993
OH,High,2,95000.0,75000.0,8.25,8.44,5089,2055,20000.0,-0.1899999999999995
ID,Low,4,65000.0,55000.0,8.25,8.35,526,369,10000.0,-0.09999999999999964
NM,High,1,395000.0,365000.0,6.75,6.875,3240,1508,30000.0,-0.125
IN,High,32,175000.0,155000.0,7.25,7.249,2145,751,20000.0,0.001000000000000334
UT,High,4,105000.0,105000.0,8.0,7.99,2516,869,0.0,0.009999999999999787
AL,Low,32,135000.0,125000.0,6.5,6.625,2107,1778,10000.0,-0.125
WV,Low,32,105000.0,105000.0,6.5,6.625,592,439,0.0,-0.125
IL,Middle,4,55000.0,55000.0,8.75,8.75,4137,1949,0.0,0.0
OH,Low,2,45000.0,45000.0,8.59,8.65,4599,3878,0.0,-0.0600000000000005
IL,High,2,95000.0,85000.0,8.49,8.5,3827,1498,10000.0,-0.009999999999999787
MD,High,31,225000.0,245000.0,7.24,6.99,1476,654,-20000.0,0.25
OR,Middle,1,375000.0,355000.0,6.625,6.625,10475,7492,20000.0,0.0
GU,Middle,31,,375000.0,,6.0,,2,,
IL,Low,1,135000.0,135000.0,6.625,6.624,17625,15312,0.0,0.001000000000000334
AL,Middle,4,55000.0,55000.0,8.75,8.75,2522,1224,0.0,0.0
CT,Low,2,55000.0,55000.0,7.4,7.49,489,499,0.0,-0.08999999999999986
NV,High,31,265000.0,255000.0,7.24,7.49,409,172,10000.0,-0.25
ME,Low,32,145000.0,125000.0,6.75,6.75,543,481,20000.0,0.0
NM,Low,32,155000.0,145000.0,6.625,6.625,675,602,10000.0,0.0
CO,Low,4,55000.0,55000.0,8.74,8.7,1408,1445,0.0,0.040000000000000924
UT,Low,1,265000.0,245000.0,6.4945,6.5,3050,2066,20000.0,-0.005499999999999616
